dev-0	3 months
dev-1	no upper age limit
dev-2	yes [CON] putting the child up for adoption taking the child abroad for more than 3 months [CON] having surgery for reasons other than improving health, such as circumcision, sterilisation or cosmetic surgery
dev-3	yes [CON] on or before their 21st birthday (or if they’ve died, the date they would have reached 21) within 6 years of the vaccination
dev-8	yes [CON] You could get a payment if you’re severely disabled and your disability was caused by vaccination against any of the following diseases: coronavirus (COVID-19) diphtheria haemophil
dev-9	yes [SEP] no [CON] interest you earn from money you inherit dividends paid on shares you inherit
dev-10	higher rate - £89.60
dev-11	the adoption support fund
dev-12	up to £10,000 per household
dev-14	yes [CON] Keep the donor’s finances separate from your own, unless you’ve got a joint bank account or own a home together. If you do, tell the bank or mortgage company you’re acting as the
dev-15	yes [CON] you’re already the child’s legal guardian [CON] you have the agreement of anyone named in a child arrangements order as someone who the child will live with [CON] you have the agreement of all
dev-16	14%
dev-18	the office of the public guard
dev-21	14%
dev-22	a certificate of funds when you write to the court funds office
dev-23	0.1%
dev-24	£250
dev-25	higher rate mobility component of disability living allowance [SEP] disability living allowance [SEP] attendance allowance [SEP] disability living allowance [SEP] attendance allowance [SEP] disability living allowance [SEP] disability living allowance [
dev-30	yes [CON] You may not have the same level of authority for each child you foster.
dev-36	SEN support [SEP] making reasonable adjustments for disabled children, like providing aids like tactile signs
dev-38	yes [CON] in the same tax year as you want to claim GASDS without getting a penalty in the last 2 tax years in at least 2 of the last 4 tax years
dev-40	yes [CON] You must be recognised as a charity or community amateur sports club (CASC) for tax purposes.
dev-42	write a detailed description explaining why you’re nominating them
dev-43	having a major local role in any activity, including people whose work has made them known nationally in their chosen area
dev-44	after they’ve died
dev-46	yes [CON] you’re aged 18 or over [CON] you have a full driving licence [CON] you live or work within 30 minutes of the rescue station - check the map to find your nearest station
dev-48	the sen co-ordinator, or ‘senco’ in your child’s school or nursery
dev-50	yes [CON] You can give an agent full powers (empowerment) to deal with your land registration or partial powers (for example, they can access information but not change it).
dev-51	the rural payments agency
dev-52	£19.20
dev-54	first aid water rescue map work search techniques [SEP] communications skills you need for your local area, for example rope rescue, mud rescue
dev-56	SEN support - support given in school, like speech therapy
dev-57	talk to a doctor or health adviser
dev-58	yes [CON] You must be recognised as a charity or community amateur sports club (CASC) for tax purposes.
dev-63	the national careers service course search
dev-64	a full day
dev-67	undergraduate funding [SEP] £10,906
dev-68	the national careers service
dev-73	your own moped or motorcycle
dev-74	in 3 instalments of 33%, 33% and 34% each year
dev-75	valid uk passport details [SEP] evidence of residency status [SEP] customer reference number [SEP] customer reference number [SEP] customer reference number [SEP] customer reference number [SEP] customer reference number [
dev-77	compensation for income and non-income losses as a result of being suspended
dev-80	safety measures must be in place
dev-81	the merchant shipping (fire protection: large ships) regulations 1998.
dev-82	every year and whenever there are significant changes to either the ship or working activities
dev-87	through your business’s hm revenue and customs (hmrc) online account
dev-88	yes [CON] You can check your bank or building society statement to confirm the payment has left your account. If you’re paying by post, you can include a letter with your payment to request a receipt from HM Revenue and
dev-90	22 october
dev-91	up to 4 weeks’ pay
dev-93	an employment tribunal
dev-95	yes [CON] HMRC will close your PAYE scheme if you’re a new employer and you do not send a report to or pay HMRC in 120 days.
dev-96	1 month to 2 years
dev-97	half a week’s pay for each full year of employment up to their 22nd birthday
dev-98	pay before any deductions (‘gross’ wages) deductions like tax and national insurance [SEP] pay after deductions (‘net’ wages) [SEP] the number of hours worked, if the pay 
dev-99	9% of their income above £27,295 a year
dev-100	put ‘yes’ in the ‘irregular payment pattern indicator’
dev-101	tax and national insurance
dev-105	every year and whenever there are significant changes to either the ship or working activities
dev-106	22 October
dev-108	within one month of making the change
dev-110	the insolvency service’s redundancy payments service (rps)
dev-112	18,000 litres per 2 users (plus another 6,800 litres per each extra user)
dev-113	yes [CON] You must apply for a permit if you’re discharging more than 5 cubic metres (5,000 litres) per day.
